500, 242000, 171700, 215500, 175300, 173400, 179300, 166400, 172000, 174800, 171700, 168800, 181500, 180400, 176100, 172400, 171900, 170000, 179100, 250700, 247500, 264500, 269700, 244000, 276800, 270100, 320000, 294500, 289400, 304400, 250900, 295700, 273300, 274600, 229500, 250900, 250900, 249200, 265100, 226600, 267900, 265300, 337700, 310800, 237400, 259500, 274500, 279600, 241500, 344000, 173400, 218500, 258600, 237100, 252800, 261100, 301300, 249300, 242700, 340100, 264400, 259000, 252000, 259500, 258900, 257800, 240600, 321900, 337800, 261800, 261600, 270200, 265500, 268100, 255300, 260300, 263400, 265000, 233100, 258100, 263200, 251300, 271400, 267100, 264800, 256000, 270300, 258800, 230200, 265400, 265700, 256600, 367200, 271800, 274200, 309400, 278400, 262900, 280600, 254600, 272200, 
1000, 1051000, 1091100, 1104300, 1092100, 1019200, 1066300, 1074200, 1090000, 1100300, 1062800, 1090300, 1739900, 1278300, 1034400, 1025400, 1035700, 1006600, 1031500, 1016800, 1033000, 1048300, 1015800, 1006900, 1022900, 1006400, 1197000, 1181000, 1164200, 1117800, 1114100, 1128000, 1147000, 1174900, 1066300, 1075100, 1027800, 1051400, 2239600, 710300, 649100, 644400, 704100, 682700, 675600, 696500, 677400, 678100, 678400, 666900, 704000, 694700, 681700, 919200, 1080400, 1022000, 1156200, 1167100, 1026400, 706100, 684100, 679200, 679100, 683400, 679500, 696100, 681900, 688500, 696400, 674000, 1069700, 1007100, 1017800, 1026200, 996500, 976700, 1001000, 1031000, 1637000, 1088100, 1011400, 1342100, 1241400, 1010800, 1038400, 1052900, 1023200, 973400, 1198400, 1034100, 1020700, 1017600, 1034600, 997300, 1084800, 1181600, 1014300, 1016900, 1033900, 1014300, 1003800, 
1500, 2216900, 2244600, 2255800, 2344900, 2439200, 2664300, 2544000, 2644200, 2404500, 2266000, 2377300, 2425900, 2413500, 2684300, 1733700, 1515000, 2267200, 1647100, 1502000, 1493400, 1490300, 1550000, 1491100, 1455100, 1652600, 2113700, 1530200, 1545200, 1510100, 1947800, 1491600, 1536200, 1471700, 1884900, 1744600, 2461400, 2408200, 2348200, 2430000, 2401100, 1625200, 2249700, 2496600, 2121700, 1646100, 1502400, 1768600, 2165600, 2374800, 2365600, 1713500, 1462000, 1533200, 1507000, 1574900, 1715300, 1522500, 1992300, 2298700, 2360900, 2296700, 2294600, 2551300, 2295000, 2436400, 2326400, 2257400, 1511300, 1651500, 1896100, 2253800, 2496300, 2422300, 2430900, 2375500, 3051100, 2300600, 2475400, 2394500, 2595600, 2448500, 2340500, 2360700, 2475800, 2445300, 2445100, 2997300, 2603000, 2294400, 2369400, 2405200, 2322100, 2331900, 2480000, 2227400, 2297700, 2268200, 2293900, 2382200, 2258800, 
2000, 5191200, 4033000, 4696700, 4693600, 5328600, 5649100, 4656600, 4368700, 5116300, 4715000, 4340600, 4497900, 4044600, 4158900, 4343000, 4153200, 3900000, 4103600, 3938400, 3973500, 4083700, 4109300, 4047200, 3954700, 23937500, 4038000, 3967100, 4033500, 4330000, 4308300, 4294800, 11919500, 4209100, 14763700, 4349800, 4273600, 4267700, 4316200, 4029800, 4407600, 4158900, 5285700, 4178200, 4330300, 4386000, 4129300, 4069500, 4278100, 4471600, 7006700, 4107100, 4011100, 4133600, 4892800, 4437500, 4200000, 5809300, 4722200, 5023300, 4210100, 4351700, 4757300, 4229300, 7842200, 4343200, 5051600, 4481200, 4010600, 4113300, 4554800, 4394400, 4333500, 5525400, 4224600, 4208700, 4898900, 4753500, 4285200, 4173400, 5789000, 4078800, 4014300, 4094700, 3907900, 4101300, 4112000, 4211600, 4201200, 4131200, 4136000, 4034700, 3976500, 4164700, 4081800, 5945200, 4066600, 4396100, 4152700, 4131500, 4035700, 
2500, 6274400, 6894300, 7368300, 7726100, 8290100, 7423600, 8420800, 7069500, 8457400, 6548700, 7996600, 6593100, 8114300, 10937300, 6736000, 8651900, 6601900, 7810500, 6972500, 7715500, 7128600, 7002200, 6920600, 7000600, 7798700, 7263300, 6418800, 6151500, 6688100, 6328200, 6718200, 6394300, 11196800, 6247000, 6509000, 6652400, 7159800, 9145700, 8245400, 6621800, 6962000, 6964100, 6872700, 6982600, 7301600, 7211100, 6746200, 4219000, 4177500, 4181400, 6248600, 6592000, 7319700, 6785600, 6795400, 7680300, 6329100, 6788900, 6865800, 7067900, 7369200, 6779700, 13592000, 6401900, 6663000, 6972700, 6845700, 6862700, 6839500, 7042800, 7169400, 6811700, 8520100, 6801500, 6865900, 6618800, 7344100, 6574000, 7515100, 6952700, 6783200, 6772400, 6649800, 7081300, 6776000, 6626500, 6692600, 6665100, 6792500, 6784800, 7649000, 7106700, 6744800, 6769800, 7677100, 6905400, 6953600, 6695000, 6778000, 6799800, 
3000, 10278300, 9963100, 10305000, 8872800, 8119200, 9937400, 8905200, 9168600, 8167000, 6070800, 7153600, 9774600, 7001400, 6498600, 6574000, 5903800, 6088500, 6278000, 7799900, 7650700, 6528200, 7802100, 6155300, 7455900, 6137100, 5987300, 6379600, 5983500, 7553800, 7564900, 8844500, 6027900, 6211400, 8570000, 7997200, 7950800, 6229100, 7270600, 8241500, 8466200, 8612800, 7562600, 7009400, 6095300, 8868700, 9406800, 8192600, 9239500, 8366300, 9367700, 10486000, 8898900, 7603600, 9714400, 6930200, 6647700, 7607100, 7843000, 10314200, 8451800, 7605000, 6127200, 7354600, 6582400, 6010100, 10527600, 6027500, 7954300, 6089000, 8409100, 6180400, 6451900, 6761200, 6002900, 6156200, 6021200, 7540900, 9259500, 7105700, 6975400, 6094900, 6138500, 7469500, 9754700, 7529500, 6247200, 6560800, 6297200, 8839200, 8140100, 31413100, 16548000, 9729500, 9491600, 9427700, 7732400, 6141400, 8281600, 9155000, 7379900, 
3500, 8202100, 11035800, 8863500, 9572300, 9642300, 9014300, 12428400, 13371500, 11154400, 15729400, 9824100, 8307600, 16096300, 14015900, 11859900, 10275900, 10594900, 12672600, 9173800, 8085000, 8198600, 8763400, 11828700, 11847900, 11444200, 8044800, 11591200, 11249000, 12205000, 12479800, 12917600, 8235800, 8111000, 8379900, 9608500, 12447300, 12626400, 8777600, 7984200, 8243400, 8311000, 8040100, 8400900, 8094500, 9532100, 8243400, 12101800, 10793600, 12248000, 11935800, 8857700, 9452500, 8148300, 9815200, 8175000, 8379300, 8916300, 11971300, 9052900, 8186500, 8273600, 9894300, 13029300, 12449100, 10151900, 10477200, 10841000, 8079600, 10357800, 11942200, 8201400, 8190300, 8133200, 8133300, 8233200, 10830100, 11925700, 10820300, 8129200, 8263700, 8249100, 8473400, 8110000, 8220400, 8137500, 12028500, 10934200, 11091500, 8191800, 8077500, 8294400, 9203100, 8114500, 8354100, 8281700, 8201000, 8328900, 8047700, 8298700, 8194900, 
4000, 11052800, 10789700, 10691300, 10801800, 13339700, 16086900, 16146500, 16411800, 16684800, 11502000, 13342000, 11384400, 10916600, 16078700, 12557300, 15071100, 11520700, 10571600, 10453300, 16248700, 10802700, 14246600, 18374500, 11564600, 13789700, 12739100, 12187800, 10734800, 16136300, 16568600, 16366200, 16566500, 16403100, 16415900, 13728100, 11269400, 13396800, 17890400, 16239400, 10944100, 13186500, 13918500, 10554500, 11281300, 10800100, 11101400, 10739600, 10984800, 15952000, 16443100, 16644300, 10582800, 17422100, 16311100, 16272000, 16511400, 16749200, 16825600, 16336100, 12292100, 12331500, 15604500, 15801600, 15924500, 12562000, 11967700, 10579400, 10918600, 11683300, 14359300, 12009400, 17020500, 16147100, 15197400, 10539200, 10877900, 10718800, 11056200, 10532800, 10437000, 12329200, 14737000, 13989900, 12852900, 10308700, 10502500, 11346500, 10441900, 10450400, 10526700, 10676100, 10475500, 10558900, 10681200, 10262900, 10789700, 10859300, 10153100, 10471700, 11344300, 
4500, 14138400, 14754200, 13043500, 13072900, 13426200, 13241100, 13577800, 13521500, 15694400, 15214800, 13078000, 13057100, 13357200, 13031000, 14054900, 16499900, 13628800, 13035000, 13624300, 13723400, 14138300, 13444300, 13450600, 13069300, 13048600, 13325500, 13171500, 13269800, 15328400, 16284900, 17701200, 13921000, 16336000, 12991500, 13407700, 15359000, 13141200, 13230600, 13328700, 12945100, 13144400, 13123400, 14442600, 16456400, 14042800, 13353100, 13350000, 13185200, 13948900, 13198200, 13170700, 13257700, 12926400, 13290800, 13379000, 14408600, 14958600, 14244100, 13590700, 15065300, 13200800, 13220200, 13039700, 13298100, 12877500, 13210400, 13237500, 13218200, 13001700, 13259600, 13490000, 14066000, 17547000, 13570500, 13481100, 13332900, 13010500, 13376600, 13151400, 13412900, 13197000, 13220200, 13434700, 13220800, 14278900, 13599600, 14546800, 14419600, 13247200, 13795800, 13196700, 12913700, 14756100, 13181300, 13433600, 13271300, 13902600, 13152000, 14433100, 13998000, 
5000, 18228100, 18466200, 18629200, 17225000, 16048000, 20365700, 16055900, 16418100, 16253400, 16537500, 16187500, 16856200, 17531600, 18087500, 16856700, 16340700, 16338600, 16421200, 16166200, 16731800, 16340800, 16391900, 16312900, 19132800, 21018000, 16723400, 16649600, 16417400, 16008900, 16187600, 16155800, 16361200, 16397300, 16050300, 16159400, 16293500, 19081300, 16849900, 18025900, 16445000, 16150100, 16073500, 16426600, 16301400, 16358600, 16339600, 16159400, 16355200, 18428800, 16716900, 16757400, 16463700, 20161800, 19480000, 16881300, 15826000, 16495200, 16020700, 16483500, 17442700, 17401500, 17239900, 16099500, 18875000, 16289000, 16335400, 16048200, 16267000, 16310700, 15975900, 16051700, 16966700, 16771300, 16380700, 17487200, 16141400, 16543600, 16148100, 16212100, 16389200, 16026300, 16127000, 16341100, 16871700, 17373700, 16238000, 15975900, 16347300, 16412200, 18796000, 15796000, 16453800, 16054900, 16496200, 16348100, 16739300, 17833900, 16622400, 16513300, 16228400, 
